rank,grade,name,handle,channel_id,subscribers,subscribers_num,views,views_num,videos,videos_num,image_url
1st,B+,Tibo InShape,/youtube/handle/tiboinshape,UCpWaR3gNAQGsX48cIlQC0qw,26.9M,26900000,21.18B,21180000000,6.21K,6210,https://yt3.ggpht.com/MXKYsX4ryzhIwTLMwBUvx6eoWMcaF-gsHO_PLidZMEKyFj-eKyg9u0IykU8uh7ejCAS9omOlyP8=s88-c-k-c0x00ffffff-no-rj
2nd,B+,SQUEEZIE,/youtube/handle/squeezie,UCWeg2Pkate69NFdBeuRFTAw,19.8M,19800000,11.49B,11490000000,1.78K,1780,https://yt3.ggpht.com/ytc/AIdro_mPZvx-xk6pbAYdC7G8jUZzgCNDDTg1ZfF0_Lwd8UpJT4M=s88-c-k-c0x00ffffff-no-rj
3rd,B+,Lofi Girl,/youtube/handle/lofigirl,UCSJ4gkVC6NrvII8umztf0Ow,15.3M,15300000,2.45B,2450000000,289,289,https://yt3.ggpht.com/UpOlHtdiDOyRG4BDMFMMzvEmdxLotEPN8H51QZ8npc6Q9xkfMkM5AzDm4DyBDWOak-DcfgNNdRU=s88-c-k-c0x00ffffff-no-rj
4th,B+,GIMS,/youtube/handle/gims,UCCB1Byx5yTbLpQaV-rlfmtA,14.3M,14300000,8.71B,8710000000,258,258,https://yt3.ggpht.com/MH9TWKPxjVZNjfGbZGLa9D71D-LVpTOPJbkh_abunMIfS6Mzqeh7M4c19eQdcp5i9dTQvIodUA=s88-c-k-c0x00ffffff-no-rj
5th,B+,Mayamystic,/youtube/handle/mayamystic,UCsbzkA9S4TPhkt2Kl2Rx3ig,11.8M,11800000,6.73B,6730000000,1.43K,1430,https://yt3.ggpht.com/VohVD0MKSQVqfwXZ8JErbY0o-DaLfzeyVAlT1bKDaXAoiEA5rmM1T2SOCXwaqI9jLRcDiavlaOA=s88-c-k-c0x00ffffff-no-rj
6th,B,Natop Shorts,/youtube/handle/natopshorts,UCPZJQKRCa8qR42yrbsZPA0A,11.2M,11200000,2.5B,2500000000,481,481,https://yt3.ggpht.com/0vQkIqJiEiOOZSWHujA0Fnaa8f3E1CX9EtoClFDPF89zDFMeCn8A2XMpmRAX2G7xErTlwZiYGw=s88-c-k-c0x00ffffff-no-rj
7th,B+,Soolking Officiel,/youtube/handle/soolkingoff,UCz6JjQtnK9XjMwKuqlEkRxw,11.1M,11100000,3.96B,3960000000,104,104,https://yt3.ggpht.com/MyEtgnNeUFw0KpnlDH1UvGHATl6trFdoj-uGDRAycJ_u52cTkyZFtf7VY-ASxQmWBd_aIhuX=s88-c-k-c0x00ffffff-no-rj
8th,B+,Michou,/youtube/handle/michou,UCo3i0nUzZjjLuM7VjAVz4zA,10.8M,10800000,3.15B,3150000000,850,850,https://yt3.ggpht.com/AbT6_C0E4bzscwpKqfdeMg6wTCuo_5pP9lkeqcLBFtqbgJsf8GaRGBAUnf7ZuNwEuiTHA7fI=s88-c-k-c0x00ffffff-no-rj
9th,B+,Furious Jumper,/youtube/handle/furiousjumper,UCLMKLU-ZuDQIsbjMvR3bbog,10M,10000000,6.33B,6330000000,7.14K,7140,https://yt3.ggpht.com/BgwYoE8jVPzK2jxhgYQrO944C7LzoYMrSVMuIqolRxwLXj1W5Ani7dILP8BD0j4sH4caeR1D1w=s88-c-k-c0x00ffffff-no-rj
10th,B+,Tuvok12,/youtube/handle/tuvok,UCeJQ-3Bs7AAN5m8HUbHG4-g,9.97M,9970000,7.2B,7200000000,401,401,https://yt3.ggpht.com/P1lqCbb9AjnasqQfNXpCuEHICE17MiBB0gscNL4hF646OrNMsRzpk2-11mN_7HfJF-T0tF7CrmU=s88-c-k-c0x00ffffff-no-rj
